id,direction,start_price,close_price,start_time,close_time,decision
8642,down,1.0711800000,1.0686800000,2016-12-08 13:33:07,2016-12-08 13:36:32,down
8643,down,1.0686800000,1.0661800000,2016-12-08 13:36:32,2016-12-08 13:43:49,down
8644,down,1.0661800000,1.0636800000,2016-12-08 13:43:49,2016-12-08 14:19:36,down
8645,up,1.0636800000,1.0661800000,2016-12-08 14:19:36,2016-12-08 14:29:33,down
8646,down,1.0661800000,1.0636800000,2016-12-08 14:29:33,2016-12-08 14:48:10,down
8647,down,1.0636800000,1.0611800000,2016-12-08 14:48:10,2016-12-08 15:51:14,down
8648,down,1.0611800000,1.0586800000,2016-12-08 15:51:14,2016-12-09 11:42:10,down
8649,down,1.0586800000,1.0561800000,2016-12-09 11:42:10,2016-12-09 12:28:30,up
8650,down,1.0561800000,1.0536800000,2016-12-09 12:28:30,2016-12-09 15:54:27,up
8651,up,1.0536800000,1.0561800000,2016-12-09 15:54:27,2016-12-12 02:50:28,up
8652,up,1.0561800000,1.0586800000,2016-12-12 02:50:28,2016-12-12 09:19:36,up
8653,up,1.0586800000,1.0611800000,2016-12-12 09:19:36,2016-12-12 11:07:42,up
8654,up,1.0611800000,1.0636800000,2016-12-12 11:07:42,2016-12-12 17:18:09,down
8655,down,1.0636800000,1.0611800000,2016-12-12 17:18:09,2016-12-13 10:28:34,up
8656,up,1.0611800000,1.0636800000,2016-12-13 10:28:34,2016-12-13 14:53:19,down
8657,up,1.0636800000,1.0661800000,2016-12-13 14:53:19,2016-12-13 16:13:53,down
8658,down,1.0661800000,1.0636800000,2016-12-13 16:13:53,2016-12-13 16:51:43,down
8659,up,1.0636800000,1.0661800000,2016-12-13 16:51:43,2016-12-14 07:37:03,down
8660,down,1.0661800000,1.0636800000,2016-12-14 07:37:03,2016-12-14 08:14:36,down
8661,up,1.0636800000,1.0661800000,2016-12-14 08:14:36,2016-12-14 15:48:05,down
8662,down,1.0661800000,1.0636800000,2016-12-14 15:48:05,2016-12-14 18:55:14,down
8663,down,1.0636800000,1.0611800000,2016-12-14 18:55:14,2016-12-14 19:00:08,down
8664,down,1.0611800000,1.0586800000,2016-12-14 19:00:08,2016-12-14 19:00:18,down
8665,up,1.0586800000,1.0611800000,2016-12-14 19:00:18,2016-12-14 19:03:48,down
8666,down,1.0611800000,1.0586800000,2016-12-14 19:03:48,2016-12-14 19:05:11,down
8667,down,1.0586800000,1.0561800000,2016-12-14 19:05:11,2016-12-14 19:13:15,up
8668,up,1.0561800000,1.0586800000,2016-12-14 19:13:15,2016-12-14 19:17:46,down
8669,down,1.0586800000,1.0561800000,2016-12-14 19:17:46,2016-12-14 19:56:52,down
8670,down,1.0561800000,1.0536800000,2016-12-14 19:56:52,2016-12-14 20:06:53,down
8671,down,1.0536800000,1.0511800000,2016-12-14 20:06:53,2016-12-14 20:35:43,down
8672,up,1.0511800000,1.0536800000,2016-12-14 20:35:43,2016-12-14 21:39:47,down
8673,down,1.0536800000,1.0511800000,2016-12-14 21:39:47,2016-12-14 23:14:43,down
8674,down,1.0511800000,1.0486800000,2016-12-14 23:14:43,2016-12-15 00:08:06,down
8675,up,1.0486800000,1.0511800000,2016-12-15 00:08:06,2016-12-15 01:55:56,down
8676,down,1.0511800000,1.0486800000,2016-12-15 01:55:56,2016-12-15 06:56:45,down
8677,down,1.0486800000,1.0461800000,2016-12-15 06:56:45,2016-12-15 11:18:57,down
8678,down,1.0461800000,1.0436800000,2016-12-15 11:18:57,2016-12-15 11:20:00,down
8679,down,1.0436800000,1.0411800000,2016-12-15 11:20:00,2016-12-15 11:47:49,up
8680,up,1.0411800000,1.0436800000,2016-12-15 11:47:49,2016-12-15 12:28:17,down
8681,down,1.0436800000,1.0411800000,2016-12-15 12:28:17,2016-12-15 13:00:03,up
8682,up,1.0411800000,1.0436800000,2016-12-15 13:00:03,2016-12-15 14:00:00,down
8683,down,1.0436800000,1.0411800000,2016-12-15 14:00:00,2016-12-15 15:09:51,up
8684,down,1.0411800000,1.0386800000,2016-12-15 15:09:51,2016-12-15 16:39:40,up
8685,up,1.0386800000,1.0411800000,2016-12-15 16:39:40,2016-12-15 17:56:42,up
8686,up,1.0411800000,1.0436800000,2016-12-15 17:56:42,2016-12-16 05:44:51,down
8687,up,1.0436800000,1.0461800000,2016-12-16 05:44:51,2016-12-16 09:53:10,down
8688,down,1.0461800000,1.0436800000,2016-12-16 09:53:10,2016-12-16 12:58:44,down
8689,down,1.0436800000,1.0411800000,2016-12-16 12:58:44,2016-12-16 14:32:33,up
8690,up,1.0411800000,1.0436800000,2016-12-16 14:32:33,2016-12-16 16:16:16,down
8691,up,1.0436800000,1.0461800000,2016-12-16 16:16:16,2016-12-16 16:46:10,down
8692,down,1.0461800000,1.0436800000,2016-12-16 16:46:10,2016-12-16 19:16:19,down
8693,up,1.0436800000,1.0461800000,2016-12-16 19:16:19,2016-12-19 00:32:55,down
8694,down,1.0461800000,1.0436800000,2016-12-19 00:32:55,2016-12-19 11:24:05,down
8695,down,1.0436800000,1.0411800000,2016-12-19 11:24:05,2016-12-19 13:31:35,up
8696,up,1.0411800000,1.0436800000,2016-12-19 13:31:35,2016-12-19 14:45:22,down
